Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Tulbaghia violacea 'Silver Lace',Variegated Society Garlic,5099,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5099,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,False,0.5,Purple,Toxic Upon Ingestion,-,-,"Green - Bluish Green, White",-,-,Fast,None,None,Fine
Turnera aurantiaca Benth.,Orange Turnera,2533,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2533,Shrub,Semi Shade,Moderate Water,False,False,False,False,1,Orange,-,-,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Turnera hybrid (smaller yellow flowers),-,3374,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3374,Shrub,Semi Shade,Moderate Water,False,False,False,False,-,"Yellow / Golden, Black",-,-,-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,-
Turnera subulata,White Alder,2534,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2534,Shrub,Full Sun,Moderate Water,False,False,False,False,0.8,"Yellow / Golden, Black, Cream / Off-White",-,"Butterfly-Attracting, Bee-Attracting",Terrestrial (Disturbed Area / Open Ground),Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Coarse
Turnera ulmifolia,West Indian Holly,2535,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2535,Shrub,Semi Shade,Moderate Water,True,False,False,False,1.0,Yellow / Golden,-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Coarse
Turpinia sphaerocarpa,-,8624,https://www.nparks.gov.sg/florafaunaweb/flora/8/6/8624,Tree,Full Sun,Moderate Water,False,True,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Typha angustifolia L.,Narrowleaf Cattail,2536,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2536,Herbaceous Plant,Full Sun,Lots of Water,False,False,True,False,3.0,"Brown, Green","Invasive / Potentially Invasive, Irritant - Nasal Allergy",Bird-Attracting,Terrestrial (Riverine),Green,-,-,Fast,None,None,Coarse
Typha latifolia 'Variegata',Variegated Broad Leaf Cattail,5844,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5844,-,"Full Sun, Semi Shade",Lots of Water,False,False,False,False,1.5,Green,-,-,-,"Cream / Off-White, Green",-,-,-,None,None,None
Typhonium trilobatum (L.) Schott,Bengal Arum,8385,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8385,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,45,Purple,-,-,Terrestrial,Green,-,-,-,None,None,Medium
Typhonodorum lindleyanum Schott,Water Banana,4813,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4813,Shrub,Full Sun,Lots of Water,False,False,False,False,0.5,Cream,Irritant - Sap,-,Aquatic (Freshwater Pond / Lake / River),Green,-,-,-,None,None,Fine
Ulmus cultivar,-,8837,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8837,Tree,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate to Slow,-,-,None
Uncaria cordata,Gambir-gambir Hutan,5363,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5363,Climber,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,-,-,-,Butterfly Host Plant,Terrestrial,-,-,-,-,None,None,Coarse
Uncaria gambir,-,7983,https://www.nparks.gov.sg/florafaunaweb/flora/7/9/7983,"Climber, Shrub",Full Sun,Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,-,None,None,-
